Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-98.05213	-131.7484	33.69629	0.0221502	0.0358744	0.0571477	0.0358026	0.0279865	0.00618705	0.109934	0.0903842	0.00334882	0.0222092	0.0298749	0.0147887	0.0589054	0.0392894	0.040793	0.135056	0.0220773	0.000317584	0.0130766	0.0657646	0.011617	0.0881748	0.0277167	0.0148275	0.0308701	0.118615	0.0308763	0.0233771	0.0319492	0.610272	0.785958	0.927612	1.07804	1.27233	1.63861	0.3570879	0.0183212	0.029673	0.0472689	0.0296135	0.0231486	0.00511752	0.0909306	0.0747599	0.00276993	0.01837	0.0247105	0.0122322	0.0487227	0.0324977	0.0337413	0.11171	0.0182609	0.000262685	0.0108161	0.0543962	0.00960886	0.0729324	0.0229255	0.0122644	0.0255337	0.0981109	0.0255388	0.019336	0.0264263	0.284515	0.715485	0.2845152	1.208993
36	-93.08782	-127.2174	34.12957	0.000408293	0.00885594	0.000896765	0.0249027	0.00594655	0.00932359	0.0222391	0.0283211	0.0308353	0.0381642	0.0121473	0.0270571	0.0250803	0.0339894	0.0839353	0.143684	0.0151715	0.00234499	0.0216794	0.106439	0.0612407	0.0117614	5.60939e-05	0.0421654	0.00258221	0.086858	0.041295	0.0482624	0.062254	0.808048	0.901274	0.968091	1.03296	1.10954	1.23755	0.1541105	0.000409153	0.00887461	0.000898655	0.0249552	0.00595908	0.00934325	0.022286	0.0283808	0.0309003	0.0382447	0.0121729	0.0271141	0.0251332	0.0340611	0.0841122	0.143987	0.0152035	0.00234993	0.0217251	0.106663	0.0613698	0.0117861	5.62122e-05	0.0422543	0.00258766	0.0870411	0.0413821	0.0483642	0.0623853	0.621647	0.378353	0.6216473	0.9978962
72	-90.81671	-124.76	33.94329	0.0211478	0.0266264	0.0083763	0.0189183	0.0255838	0.00463494	0.145175	0.0740631	0.0185418	0.0422332	0.038418	0.0220817	0.0126818	0.0634265	0.0494199	0.0669739	0.0137121	0.0213579	0.010073	0.0507668	0.066594	0.0332551	0.00566469	0.0607168	0.0136473	0.00783501	0.0835128	0.0255595	0.0282418	0.681418	0.829383	0.943307	1.0601	1.20572	1.46753	0.2773546	0.0199651	0.0251373	0.00790784	0.0178603	0.024153	0.00437572	0.137056	0.069921	0.0175049	0.0398713	0.0362695	0.0208468	0.0119726	0.0598793	0.046656	0.0632283	0.0129452	0.0201634	0.00950969	0.0479276	0.0628696	0.0313953	0.00534788	0.0573211	0.0128841	0.00739682	0.0788422	0.0241301	0.0266623	0.460662	0.539338	0.4606621	1.059239
108	-91.76132	-125.1515	33.39014	0.026071	0.0125177	0.0078364	0.00589711	0.0236793	0.00452801	0.00884156	0.068113	0.00722489	0.0164198	0.0270002	0.00907374	0.00304792	0.0120189	0.0460668	0.0433883	0.038528	0.00922149	0.000189714	0.0162397	0.0354377	0.0348774	0.00591285	0.0518886	0.00332371	0.0424672	0.0145773	0.0251589	0.0029573	0.195613	0.451246	0.780159	1.28179	2.21609	5.11213	1.179771	0.0432711	0.0207761	0.0130064	0.00978767	0.0393015	0.00751532	0.0146747	0.11305	0.0119914	0.0272525	0.0448132	0.01506	0.00505875	0.0199482	0.0764588	0.0720132	0.0639464	0.0153053	0.000314876	0.0269537	0.0588174	0.0578873	0.00981378	0.0861215	0.0055165	0.0704845	0.0241944	0.0417572	0.00490834	0.243248	0.756752	0.2432483	0.6025044
144	-91.14389	-124.4643	33.3204	0.0175986	0.00120155	0.00494397	0.015513	0.00545923	0.001052	0.00726723	0.0325485	0.0188285	0.0213255	0.00565648	0.000635008	0.00372345	0.030402	0.0222147	0.0378226	0.000775125	0.0228275	0.0213781	0.0132647	0.00855142	0.00216925	0.000610954	0.0193114	0.0199887	0.0522841	0.0408955	0.00817606	0.00122096	0.17518	0.427608	0.767172	1.30349	2.33859	5.70842	1.259544	0.040212	0.00274548	0.0112967	0.0354465	0.0124741	0.00240377	0.0166053	0.0743718	0.0430223	0.0487277	0.0129248	0.00145096	0.00850789	0.0694671	0.0507594	0.0864228	0.00177112	0.0521596	0.0488479	0.0303092	0.0195396	0.00495664	0.001396	0.0441257	0.0456732	0.119467	0.0934442	0.0186819	0.00278984	0.582408	0.417592	0.5824081	0.4376462
180	-88.89175	-123.0583	34.16651	0.00635675	0.00225477	0.0111448	0.00451571	0.00564348	0.00712318	0.0130762	0.0841719	0.0408997	0.0630656	0.00967077	0.0170227	0.0287733	0.0134226	0.0291911	0.0382322	0.00881953	0.0125417	0.0100202	0.00585679	0.0106781	0.0142581	0.0312914	0.0217518	0.0136592	0.0127157	0.0139066	0.00958535	0.009428	0.56144	0.754631	0.915916	1.0918	1.32515	1.78113	0.4173919	0.0115771	0.00410647	0.0202973	0.00822419	0.0102781	0.012973	0.0238149	0.153297	0.0744881	0.114857	0.0176128	0.0310024	0.052403	0.0244457	0.0531638	0.06963	0.0160625	0.0228415	0.0182491	0.0106666	0.0194474	0.0259673	0.0569891	0.0396152	0.0248767	0.0231583	0.0253273	0.0174572	0.0171706	0.60831	0.39169	0.6083095	0.5490772
216	-93.91572	-128.3368	34.42106	0.0277079	0.00232377	0.0216509	0.00285121	0.0823346	0.00454394	0.00531513	0.0966975	0.00201625	0.00222881	0.00760322	0.033963	0.0067195	0.0232222	0.0293997	0.103693	0.0141213	0.0313528	0.0316917	0.0447252	0.0318829	0.00357626	0.017665	0.0299888	0.026204	0.0174749	0.0170263	0.0132338	0.0265951	0.910778	0.955445	0.985881	1.01432	1.04663	1.09796	0.0675748	0.0365632	0.00306644	0.0285704	0.00376244	0.108648	0.00599616	0.00701381	0.127601	0.00266063	0.00294113	0.0100332	0.0448173	0.00886701	0.0306439	0.0387957	0.136832	0.0186344	0.041373	0.0418202	0.0590191	0.0420725	0.00471922	0.0233107	0.0395731	0.0345786	0.0230598	0.0224678	0.0174633	0.0350947	0.480581	0.519419	0.4805814	0.7578083
252	-96.21693	-129.7419	33.525	0.0410425	0.0345513	0.0146104	0.000530923	0.0115162	0.00992683	0.0311848	0.0147287	0.000608714	0.0155578	0.00233154	0.00437469	0.00753356	0.0417967	0.0512528	0.0397446	0.00357877	0.0414746	0.0133438	0.0405745	0.0463781	0.036668	0.000954473	0.0042684	0.0102387	0.00336147	0.0371405	0.00656654	0.00511348	0.232705	0.491122	0.801045	1.24837	2.03615	4.29729	1.054224	0.0718841	0.0605152	0.0255894	0.000929889	0.0201701	0.0173864	0.0546188	0.0257967	0.00106614	0.0272488	0.00408358	0.00766207	0.0131947	0.0732051	0.0897671	0.0696109	0.00626805	0.072641	0.0233711	0.0710645	0.0812291	0.0642224	0.00167172	0.00747592	0.0179326	0.00588746	0.06505	0.011501	0.00895604	0.330552	0.669448	0.3305524	0.5709535
288	-93.748	-127.3225	33.5745	0.0279653	0.00922289	0.0399243	5.18915e-06	0.000582716	0.00694727	0.0488435	0.0203916	0.00964053	0.0897994	0.0558226	0.0041061	0.0330389	0.0383316	0.0125866	0.0699937	0.135513	0.0449286	0.0144297	0.0200273	0.0743016	0.088548	0.00335674	0.0587863	0.0605058	0.000283123	0.0737997	0.0208698	0.0113667	0.418096	0.653575	0.875741	1.14189	1.53005	2.3918	0.6305483	0.0260404	0.00858807	0.0371763	4.83198e-06	0.000542607	0.00646908	0.0454815	0.0189881	0.00897696	0.0836184	0.0519803	0.00382347	0.0307648	0.0356932	0.0117203	0.065176	0.126186	0.0418361	0.0134364	0.0186488	0.0691873	0.0824532	0.0031257	0.05474	0.0563411	0.000263635	0.06872	0.0194333	0.0105843	0.0419892	0.958011	0.04198921	1.073919
324	-87.71633	-121.1974	33.48111	0.0154776	0.0114756	0.0108454	0.0044879	0.0138851	0.0294616	0.0300405	0.0395394	0.00425429	0.0730075	0.0226483	0.00569416	0.110118	0.0196655	0.000619568	0.234532	0.0219152	0.0199067	0.00963047	0.0695728	0.0736622	0.0570183	0.0519673	0.0233771	0.108133	0.0119471	0.0831977	0.0314567	0.0098651	0.444776	0.673593	0.884022	1.13119	1.48458	2.24833	0.5858199	0.012926	0.00958374	0.00905743	0.00374803	0.011596	0.0246046	0.0250881	0.033021	0.00355293	0.0609716	0.0189145	0.00475543	0.0919641	0.0164235	0.000517427	0.195867	0.0183023	0.0166249	0.00804281	0.0581031	0.0615183	0.0476184	0.0434	0.0195232	0.0903061	0.00997756	0.0694819	0.0262708	0.00823876	0.441918	0.558082	0.4419183	1.197402
