Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-93.82405	-127.397	33.57292	0.6408931	0.357807	0.642193	1.065697
6	-99.88672	-133.4596	33.57292	0.6408931	0.218202	0.781798	1.065697
12	-94.84977	-128.7145	33.86475	0.6408931	0.245812	0.754188	0.7319357
18	-91.78155	-125.2745	33.49298	0.4912212	0.245812	0.754188	1.267018
24	-93.80232	-127.5884	33.78607	0.7007919	0.0845956	0.915404	0.7604014
30	-93.02201	-127.1342	34.11215	0.3747157	0.174265	0.825735	0.7604014
36	-88.12084	-122.1132	33.99234	0.1094602	0.301451	0.698549	1.16719
42	-90.2633	-123.9391	33.67581	0.08027125	0.41732	0.58268	1.447757
48	-89.52626	-123.0074	33.48114	0.41513	0.147902	0.852098	1.338381
54	-89.29749	-123.1222	33.82471	0.5435205	0.238515	0.761485	0.9089296
60	-91.59431	-125.326	33.73166	0.5435205	0.350742	0.649258	1.006379
66	-93.32432	-127.0352	33.71093	0.7134537	0.432374	0.567626	0.8434999
72	-101.7416	-135.73	33.98845	0.3805561	0.200965	0.799035	0.9080665
78	-101.467	-134.6243	33.15739	0.8943591	0.169165	0.830835	1.210384
84	-88.001	-121.7569	33.75586	0.565777	0.27714	0.72286	0.9590757
90	-91.18163	-124.8115	33.62989	0.9556006	0.189719	0.810281	0.4626155
96	-88.35048	-121.9804	33.62989	0.9556006	0.235879	0.764121	0.4626155
102	-92.73484	-126.2553	33.52045	0.5102588	0.40226	0.59774	1.228211
108	-94.05365	-128.3055	34.2518	0.2971565	0.489573	0.510427	0.6539309
114	-86.74614	-120.7285	33.98238	0.5485348	0.296458	0.703542	0.6892644
120	-84.4842	-118.3368	33.85256	0.5485348	0.222178	0.777822	0.871427
126	-101.0889	-133.8951	32.80621	0.09080236	0.691204	0.308796	2.051592
132	-95.5031	-128.998	33.49489	0.8458602	0.177549	0.822451	0.938874
138	-95.54047	-128.594	33.05349	0.8458602	0.439122	0.560878	1.335921
144	-102.6212	-135.9888	33.36756	0.6138703	0.491377	0.508623	1.269306
150	-99.81583	-132.8926	33.07672	0.2506302	0.423615	0.576385	1.759678
156	-97.49365	-131.6558	34.16213	0.08554527	0.527514	0.472486	1.033352
162	-97.706	-130.7464	33.04036	0.07641788	0.107905	0.892095	1.904509
168	-93.13626	-127.2663	34.13004	0.3435985	0.201717	0.798283	0.7792765
174	-92.73328	-126.4432	33.70989	0.8768802	0.524519	0.475481	0.5293508
180	-102.2255	-134.2791	32.05366	2.068481	0.130427	0.869573	0.1583991
186	-101.3233	-132.9813	31.65795	2.068481	0.278884	0.721116	0.09368958
192	-99.34612	-133.5323	34.18616	0.1835992	0.448	0.552	0.9072232
198	-98.04407	-131.8538	33.80971	0.1121257	0.216291	0.783709	1.317881
204	-95.31552	-128.9254	33.60988	0.04874453	0.213289	0.786711	1.521242
210	-98.75062	-132.538	33.7874	0.1246549	0.27354	0.72646	1.325751
216	-98.78928	-132.5667	33.77743	0.5141421	0.133767	0.866233	0.989953
222	-97.20184	-129.2073	32.00542	2.084158	0.223689	0.776311	0.1511027
228	-91.61311	-123.519	31.90593	2.092102	0.315302	0.684698	0.1329748
234	-95.43912	-127.1167	31.67754	2.092102	0.347387	0.652613	0.09883991
240	-98.10751	-131.2577	33.15018	1.347787	0.161575	0.838425	0.3163511
246	-94.10717	-127.2333	33.12611	1.33977	0.252001	0.747999	0.2915164
252	-100.9174	-133.6601	32.74271	1.682195	0.24629	0.75371	0.2657669
258	-101.3619	-134.5881	33.22623	1.175362	0.509473	0.490527	0.2531944
264	-90.43839	-123.6254	33.18706	1.352431	0.290055	0.709945	0.3594388
270	-91.16724	-124.6555	33.48822	1.072111	0.251415	0.748585	0.6280861
276	-86.90726	-120.4217	33.51443	1.072111	0.35969	0.64031	0.4698628
282	-88.54687	-122.3066	33.75969	0.6855203	0.340822	0.659178	0.8173264
288	-92.51154	-125.6102	33.09869	0.2393927	0.340822	0.659178	1.752173
294	-95.67674	-128.9479	33.27114	0.06694659	0.379208	0.620792	1.752173
300	-93.77595	-126.6574	32.8815	0.01664006	0.425281	0.574719	2.050842
306	-95.36169	-128.0309	32.66919	0.5679997	0.49396	0.50604	1.822224
312	-92.27522	-125.7855	33.51031	0.9629432	0.382887	0.617113	0.7798058
318	-86.84575	-121.0055	34.1597	0.3135524	0.445882	0.554118	0.7798058
324	-90.82229	-124.7981	33.97578	0.4588769	0.338472	0.661528	0.8307428
330	-95.50081	-128.8545	33.35366	1.209105	0.306036	0.693964	0.3951068
336	-97.68968	-131.3415	33.65187	0.8227938	0.298738	0.701262	0.7778387
342	-86.73719	-120.5622	33.82499	0.4677809	0.290564	0.709436	0.9887444
348	-92.17942	-125.9554	33.77598	0.04442696	0.290564	0.709436	1.398166
354	-93.24888	-127.1793	33.93046	0.5445132	0.155269	0.844731	0.7774063
360	-93.7035	-126.9748	33.27129	0.8230899	0.417758	0.582242	1.173664
366	-88.34287	-122.543	34.20015	0.1278354	0.310243	0.689757	0.952426
372	-88.85469	-122.53	33.67527	0.9131562	0.193291	0.806709	0.4991501
378	-89.49137	-122.8466	33.35521	1.232134	0.384836	0.615164	0.4770733
384	-95.87577	-129.0171	33.14137	1.445975	0.205206	0.794794	0.4770733
390	-94.54163	-127.8679	33.32629	0.9928299	0.138954	0.861046	0.9616996
396	-96.90298	-130.8748	33.97186	0.3472665	0.600029	0.399971	0.9616996
402	-90.1813	-124.4042	34.22293	0.1462118	0.220802	0.779198	0.907914
408	-88.463	-121.6154	33.15241	0.3598187	0.220802	0.779198	1.628502
414	-88.64055	-122.6005	33.95992	0.4712795	0.220802	0.779198	0.8350598
420	-93.91677	-128.3657	34.44895	0.02473751	0.523131	0.476869	0.7792033
426	-94.20569	-127.7264	33.5207	0.0589417	0.121562	0.878438	1.579528
432	-90.11015	-123.4844	33.37426	0.06450393	0.200446	0.799554	1.681141
438	-89.2957	-123.1632	33.86747	0.03773696	0.526721	0.473279	1.331236
444	-94.07639	-128.0774	34.00105	0.004608576	0.162828	0.837172	1.249217
450	-92.31296	-126.2005	33.88754	0.009357497	0.162828	0.837172	1.337882
456	-89.79661	-123.458	33.66137	0.2355293	0.281576	0.718424	1.337882
462	-88.86978	-122.4396	33.56986	0.4030741	0.281576	0.718424	1.276306
468	-90.85653	-124.484	33.62748	0.6164304	0.173289	0.826711	1.036998
474	-90.65268	-124.4402	33.78748	0.0118116	0.335699	0.664301	1.414547
480	-91.67371	-123.5643	31.89061	0.09544616	0.242724	0.757276	2.631548
486	-95.28527	-128.9832	33.69795	0.5783439	0.36257	0.63743	1.00527
492	-93.76119	-127.5353	33.77413	0.1002355	0.433483	0.566517	1.355801
498	-90.42088	-124.3624	33.94148	0.5256287	0.258464	0.741536	0.7882941
504	-87.61375	-121.3069	33.69316	0.6974679	0.258464	0.741536	0.8835961
510	-88.69037	-122.4137	33.72336	0.5723594	0.187232	0.812768	0.9857495
516	-86.10048	-119.9819	33.8814	0.2183296	0.261948	0.738052	1.168997
522	-90.93816	-125.0366	34.09841	0.00131775	0.261948	0.738052	1.168997
528	-94.55401	-127.3729	32.81888	0.02732367	0.337896	0.662104	2.085092
534	-93.26474	-125.3519	32.08718	0.2799113	0.328354	0.671646	2.393651
540	-89.21937	-123.448	34.22865	0.06092906	0.204645	0.795355	0.9919691
546	-87.36379	-121.1312	33.7674	0.0124058	0.192493	0.807507	1.429576
552	-93.63325	-126.6354	33.00211	0.04395129	0.227565	0.772435	1.952245
558	-91.5007	-124.4541	32.95339	0.2504173	0.300172	0.699828	1.845171
564	-89.93428	-123.299	33.36468	0.1741274	0.335389	0.664611	1.609273
570	-90.63134	-123.9393	33.308	0.7143936	0.163284	0.836716	1.235209
576	-95.99458	-129.8413	33.84673	0.1756693	0.619952	0.380048	1.235209
582	-94.55335	-128.2194	33.6661	0.1142767	0.121274	0.878726	1.429133
588	-92.30687	-125.3427	33.0358	0.237787	0.277138	0.722862	1.797078
594	-93.14338	-127.0083	33.86494	0.6661805	0.450184	0.549816	0.688895
600	-100.6148	-133.5691	32.95431	0.8587737	0.161752	0.838248	1.403857
606	-92.79541	-126.6179	33.8225	0.08444695	0.300249	0.699751	1.329847
612	-90.85927	-124.8572	33.99797	0.02372386	0.22179	0.77821	1.235799
618	-95.38255	-128.7576	33.37509	0.3457754	0.281514	0.718486	1.474519
624	-91.01843	-124.5976	33.57916	0.6639873	0.529052	0.470948	1.037735
630	-90.01459	-123.5696	33.55502	0.6639873	0.463683	0.536317	1.060791
636	-95.88297	-129.5882	33.70527	0.7315811	0.156369	0.843631	0.827974
642	-89.93151	-123.6278	33.69626	0.7649107	0.1957	0.8043	0.7963334
648	-90.86135	-123.7634	32.90202	1.624969	0.275354	0.724646	0.344582
654	-87.75444	-120.4615	32.70709	1.814429	0.400507	0.599493	0.3386834
660	-87.1761	-120.7831	33.60703	0.9685634	0.443748	0.556252	0.4241176
666	-87.76676	-121.3606	33.59386	0.9685634	0.405143	0.594857	0.622869
672	-88.08634	-121.4242	33.33785	0.9685634	0.43817	0.56183	0.9748365
678	-85.29863	-118.8692	33.57056	0.6873901	0.199684	0.800316	1.02336
684	-93.73017	-127.1171	33.38698	1.194379	0.502205	0.497795	0.5618463
690	-96.03466	-130.0558	34.0211	0.01338807	0.219611	0.780389	1.225028
696	-94.58568	-127.6894	33.10376	0.2111598	0.288393	0.711607	1.768353
702	-91.08066	-124.5494	33.46873	0.2223625	0.391639	0.608361	1.496964
708	-94.78956	-128.3061	33.51651	0.164517	0.422421	0.577579	1.504504
714	-101.0203	-134.3725	33.35223	1.046984	0.51526	0.48474	0.8736338
720	-97.59695	-131.0287	33.43173	1.123856	0.316341	0.683659	0.6393196
726	-97.01947	-130.4783	33.45885	1.123856	0.272254	0.727746	0.4484065
732	-97.75679	-131.4028	33.64603	0.8951485	0.272254	0.727746	0.6698344
738	-102.7094	-135.6755	32.96606	1.52016	0.342762	0.657238	0.3066453
744	-93.45594	-127.3034	33.84743	0.3263034	0.228784	0.771216	1.102886
