Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-93.82405	-127.397	33.57292	0.0278275	0.0233082	0.0282719	0.0135845	0.0184744	0.00521604	0.0869202	0.0294455	0.00100173	0.0253531	0.0523267	0.00727699	0.00648137	0.0398849	0.068684	0.169122	0.0283071	0.0726222	0.00528399	0.000656541	0.127062	0.0868922	0.0136098	0.0355552	0.0191868	0.0257507	0.0077706	0.0127648	0.0270566	0.412157	0.64903	0.873836	1.14438	1.54076	2.42626	0.6408931	0.026112	0.0218714	0.026529	0.012747	0.0173355	0.00489449	0.0815619	0.0276303	0.000939978	0.0237902	0.049101	0.00682838	0.00608182	0.0374262	0.0644499	0.158696	0.026562	0.0681453	0.00495825	0.000616068	0.119229	0.0815356	0.0127708	0.0333634	0.018004	0.0241633	0.00729157	0.0119779	0.0253887	0.357807	0.642193	0.3578065	1.065697
36	-88.12084	-122.1132	33.99234	0.00218711	0.0100812	0.0150192	0.0148887	0.0182821	0.00216538	0.113593	0.101141	0.0110502	0.0143777	0.0253728	0.0754743	0.0310127	0.0880178	0.0463284	0.0974349	0.0250467	0.0174112	0.0171529	0.0341375	0.0205107	0.125404	4.68789e-05	0.105456	0.0134452	0.013453	0.021276	0.0590363	0.0483876	0.859519	0.92883	0.97723	1.0233	1.07662	1.16344	0.1094602	0.00187383	0.00863715	0.0128678	0.012756	0.0156634	0.00185521	0.0973215	0.0866532	0.00946734	0.0123182	0.0217383	0.0646633	0.0265704	0.07541	0.0396922	0.0834782	0.021459	0.0149172	0.0146959	0.0292476	0.0175727	0.107441	4.01639e-05	0.0903506	0.0115193	0.011526	0.0182284	0.0505798	0.0414565	0.301451	0.698549	0.3014509	1.16719
72	-101.7416	-135.73	33.98845	0.0102232	0.0040829	0.0475048	0.0370414	0.0230836	0.016425	0.021495	0.0270737	0.0264652	0.090903	0.0296303	0.00989938	0.0399319	0.0811796	0.0626638	0.069005	0.0204646	0.0159238	0.0384452	0.00289944	0.00502694	0.0321813	0.000420381	0.0124574	0.00349973	0.0700639	0.0242653	0.0603222	0.0254886	0.590783	0.773615	0.923043	1.08337	1.29263	1.69267	0.3805561	0.0112582	0.00449625	0.0523142	0.0407915	0.0254206	0.0180879	0.0236712	0.0298146	0.0291446	0.100106	0.0326301	0.0109016	0.0439747	0.0893983	0.069008	0.0759911	0.0225365	0.0175359	0.0423375	0.00319298	0.00553588	0.0354393	0.000462941	0.0137186	0.00385405	0.0771572	0.0267219	0.0664293	0.0280691	0.200965	0.799035	0.2009654	0.9080665
108	-94.05365	-128.3055	34.2518	0.0188852	0.0234882	0.0211953	0.0158383	0.00238851	0.00316642	0.017837	0.065012	0.0045081	0.0237717	0.0487273	0.00708949	0.0324875	0.0263443	0.0805365	0.0391091	0.00449203	0.0139315	0.00953963	0.0247341	0.00436457	0.0362828	0.00237228	0.00946281	0.0071403	0.0518475	0.0343016	0.0101499	0.0149267	0.66301	0.81838	0.939385	1.06453	1.22193	1.50827	0.2971565	0.0288796	0.0359185	0.0324122	0.0242202	0.00365254	0.00484213	0.0272766	0.0994173	0.00689385	0.036352	0.0745144	0.0108413	0.0496804	0.0402861	0.123158	0.0598062	0.00686927	0.0213043	0.0145881	0.0378238	0.00667436	0.0554842	0.00362772	0.0144707	0.010919	0.0792859	0.0524545	0.0155213	0.0228261	0.489573	0.510427	0.4895733	0.6539309
144	-102.6212	-135.9888	33.36756	0.00670744	0.0459289	0.0154089	0.0348369	0.0400716	0.016329	0.0542262	0.0662642	0.0269811	0.0823299	0.0463122	0.0381131	0.133062	0.0146767	0.0612673	0.0540254	0.0417365	0.00888429	0.0689098	0.00984626	0.0492471	0.0880232	0.0321949	0.0512188	0.0134279	0.0180758	0.114113	0.00941083	0.0276768	0.427852	0.660968	0.87882	1.13789	1.51293	2.33726	0.6138703	0.00528434	0.0361842	0.0121397	0.0274457	0.0315697	0.0128645	0.0427211	0.0522051	0.0212565	0.0648621	0.0364862	0.0300267	0.104831	0.0115628	0.0482683	0.042563	0.0328813	0.00699932	0.0542894	0.0077572	0.0387984	0.0693474	0.0253642	0.0403518	0.0105789	0.0142407	0.089902	0.00741415	0.0218047	0.491377	0.508623	0.4913771	1.269306
180	-102.2255	-134.2791	32.05366	0.000303753	0.00476118	0.0022099	0.000453484	0.00309188	0.00192062	0.000563398	0.00907904	0.00960168	0.0041458	0.00403054	0.00134326	0.00625849	0.0153834	0.00193337	0.0204154	0.00493263	0.010552	0.0048151	0.00466082	0.000823289	0.00175287	0.00523388	0.000471351	0.00665872	0.00628377	0.00701876	0.00528506	0.0144157	0.0572289	0.247791	0.647092	1.54538	4.03566	17.4737	2.068481	0.00191764	0.0300581	0.0139515	0.00286292	0.0195196	0.0121252	0.00355683	0.0573175	0.060617	0.0261731	0.0254455	0.00848022	0.0395109	0.0971177	0.0122057	0.128886	0.0311405	0.0666166	0.0303985	0.0294246	0.00519756	0.0110662	0.0330424	0.00297572	0.0420376	0.0396705	0.0443106	0.0333655	0.091009	0.130427	0.869573	0.1304267	0.1583991
216	-98.78928	-132.5667	33.77743	0.0189728	0.00145951	0.0259582	0.0176616	0.0206085	0.0462096	0.0233955	0.0233388	0.0468764	0.106671	0.0187465	0.0202564	0.0382806	0.0262267	0.0697284	0.0353276	0.00670344	0.0123964	0.0319844	0.00847098	0.0945162	0.053038	0.00155116	0.0321012	0.0395161	0.0884834	0.0256621	0.051925	0.00388635	0.491126	0.706958	0.897457	1.11426	1.41451	2.03614	0.5141421	0.0191654	0.00147432	0.0262216	0.0178409	0.0208176	0.0466786	0.0236329	0.0235757	0.0473521	0.107754	0.0189367	0.020462	0.0386691	0.0264929	0.0704361	0.0356861	0.00677147	0.0125222	0.0323091	0.00855695	0.0954754	0.0535763	0.0015669	0.032427	0.0399172	0.0893814	0.0259226	0.052452	0.00392579	0.133767	0.866233	0.1337671	0.989953
252	-100.9174	-133.6601	32.74271	0.0169534	0.00258934	0.00558885	0.00164113	0.00114813	0.00358319	0.0127109	0.0082569	0.00445553	0.0116428	0.0162381	0.00726322	0.0043539	0.00748525	0.0239793	0.0187802	0.00906719	0.00982983	0.010913	0.00388812	0.0126134	0.0208765	0.00664072	0.0012002	0.0107001	0.000356805	0.00487347	0.026545	0.0015925	0.0976403	0.321543	0.701888	1.42473	3.11	10.2417	1.682195	0.0637904	0.00974291	0.0210291	0.00617508	0.00432008	0.0134824	0.0478273	0.0310682	0.0167648	0.0438083	0.061099	0.0273293	0.0163824	0.0281647	0.0902267	0.0706641	0.0341171	0.0369867	0.0410623	0.0146298	0.0474603	0.078552	0.024987	0.00451601	0.0402614	0.00134255	0.0183374	0.0998807	0.0059921	0.24629	0.75371	0.2462899	0.2657669
288	-92.51154	-125.6102	33.09869	0.0067936	0.0101532	0.00215328	0.0147599	0.0310715	0.0512654	0.0626514	0.341687	0.02481	0.0980568	0.0328512	0.019262	0.0268895	0.103917	0.0140154	0.113516	0.0171688	0.0446366	0.0738959	0.0306391	0.11864	0.208263	0.0173689	0.00562814	0.0361588	0.112661	0.112364	0.019011	0.00188401	0.718149	0.850894	0.950873	1.05167	1.17523	1.39247	0.2393927	0.00387724	0.00579463	0.00122892	0.00842378	0.0177331	0.0292582	0.0357564	0.195007	0.0141595	0.055963	0.0187488	0.0109932	0.0153464	0.0593077	0.00799889	0.0647857	0.0097986	0.025475	0.0421739	0.0174864	0.0677105	0.11886	0.00991279	0.00321209	0.0206365	0.0642976	0.0641286	0.0108499	0.00107524	0.340822	0.659178	0.3408217	1.752173
324	-90.82229	-124.7981	33.97578	0.0160889	0.0262001	0.00263276	0.0167455	0.0125216	0.0332468	0.0131643	0.0453526	0.0634062	0.0995221	0.0163778	0.0146869	0.035211	0.00546147	0.0437713	0.0526305	0.00647943	0.0456443	0.0376231	0.017998	0.0873778	0.0258392	0.00527989	0.0252379	0.0218687	0.0026816	0.0253116	0.0321322	0.000249033	0.530135	0.733808	0.907955	1.10138	1.36275	1.88631	0.4588769	0.0193669	0.0315381	0.00316917	0.0201573	0.0150728	0.0400206	0.0158465	0.0545928	0.0763247	0.119799	0.0197147	0.0176792	0.042385	0.0065742	0.0526893	0.0633536	0.00779956	0.054944	0.0452885	0.021665	0.10518	0.0311038	0.00635563	0.0303799	0.0263243	0.00322796	0.0304686	0.0386789	0.000299772	0.338472	0.661528	0.3384719	0.8307428
